par,val
rho_DJI/SSMI,0.8646079628901482
rho_DJI/STOXX50E,0.8714605390080205
rho_FCHI/FTSE,0.9427289052616528
rho_FCHI/GDAXI,0.9560228778517956
rho_FCHI/HSI,0.6281069519863757
rho_FCHI/IBEX,0.883404578647532
rho_FCHI/IXIC,0.7800616437110045
rho_FCHI/KS11,0.5619939137554422
rho_FCHI/KSE,0.003447050925705976
rho_FCHI/MXX,0.5644392069165157
rho_FCHI/N225,0.6383944157881111
rho_FCHI/NSEI,0.34188998554311856
rho_FCHI/RUT,0.6259145018044012
rho_FCHI/SPX,0.8840302173310515
rho_FCHI/SSEC,0.24292687240126082
rho_FCHI/SSMI,0.9193635307358972
rho_FCHI/STOXX50E,0.9934634771285311
rho_FTSE/GDAXI,0.8757405579169221
rho_FTSE/HSI,0.6803492702634425
rho_FTSE/IBEX,0.8313544500371929
rho_FTSE/IXIC,0.7835006636888233
rho_FTSE/KS11,0.5885681162242541
rho_FTSE/KSE,0.04510880861406294
rho_FTSE/MXX,0.6864086278581638
rho_FTSE/N225,0.6500710406841879
rho_FTSE/NSEI,0.4173539032862734
rho_FTSE/RUT,0.7122960491763404
rho_FTSE/SPX,0.8907349284676709
rho_FTSE/SSEC,0.32041556119167725
rho_FTSE/SSMI,0.9286349895336637
rho_FTSE/STOXX50E,0.9233487651160754
rho_GDAXI/HSI,0.6342179313196972
rho_GDAXI/IBEX,0.7616629896564643
rho_GDAXI/IXIC,0.803834572582461
rho_GDAXI/KS11,0.6470463973200581
rho_GDAXI/KSE,0.060981471464963286
rho_GDAXI/MXX,0.45393114967341863
rho_GDAXI/N225,0.6655033652938228
rho_GDAXI/NSEI,0.31533812433777375
rho_GDAXI/RUT,0.48558872516588686
rho_GDAXI/SPX,0.8670960121127076
rho_GDAXI/SSEC,0.20497122914070426
rho_GDAXI/SSMI,0.8907889036746337
rho_GDAXI/STOXX50E,0.9694080209649191
rho_HSI/IBEX,0.48358988106604023
rho_HSI/IXIC,0.7187851847478594
rho_HSI/KS11,0.6950751276575883
rho_HSI/KSE,0.02283024316767145
rho_HSI/MXX,0.5992360906103292
rho_HSI/N225,0.5619524631539382
rho_HSI/NSEI,0.4281147604020379
rho_HSI/RUT,0.5156557474930513
rho_HSI/SPX,0.7067494828136787
rho_HSI/SSEC,0.3630359325123342
rho_HSI/SSMI,0.6149610721457527
rho_HSI/STOXX50E,0.5739919071120574
rho_IBEX/IXIC,0.5953053722022987
rho_IBEX/KS11,0.28950434478729015
rho_IBEX/KSE,-0.14181223466859474
rho_IBEX/MXX,0.5134877464409213
rho_IBEX/N225,0.5096585046223846
rho_IBEX/NSEI,0.1377731307164899
rho_IBEX/RUT,0.5944669477915007
rho_IBEX/SPX,0.7170554351428768
rho_IBEX/SSEC,0.16261090868272995
rho_IBEX/SSMI,0.7475007647961099
rho_IBEX/STOXX50E,0.8649865881337274
rho_IXIC/KS11,0.7209391264809878
rho_IXIC/KSE,0.13234547806186062
rho_IXIC/MXX,0.5790046951482883
rho_IXIC/N225,0.6577577300309901
rho_IXIC/NSEI,0.275137948903152
rho_IXIC/RUT,0.5741660951619919
rho_IXIC/SPX,0.9144046276651517
rho_IXIC/SSEC,0.08202135878347469
rho_IXIC/SSMI,0.7217072744746826
rho_IXIC/STOXX50E,0.7580218824920968
rho_KS11/KSE,0.2620263219115831
rho_KS11/MXX,0.4265960027949603
rho_KS11/N225,0.5759524609307449
rho_KS11/NSEI,0.42054406690018353
rho_KS11/RUT,0.2918535482653792
rho_KS11/SPX,0.6798945020038356
rho_KS11/SSEC,0.1733480506700185
rho_KS11/SSMI,0.5565627054736031
rho_KS11/STOXX50E,0.5291688060454722
rho_KSE/MXX,0.04562025688353667
rho_KSE/N225,0.02055610336907929
rho_KSE/NSEI,0.2134122319441647
rho_KSE/RUT,-0.01854489711153793
rho_KSE/SPX,0.09548387511779144
