par,v0,val
eta_BVSP/RUT,-0.05412651273395967,0.037069046852249946
eta_BVSP/SPX,-0.05333669649958257,-0.027472977249378135
eta_BVSP/SSEC,-0.0015699944570938696,0.05530596319899164
eta_BVSP/SSMI,0.004714781586881595,-0.049173069202739866
eta_BVSP/STOXX50E,0.035853563866861775,-0.037918416961456175
eta_DJI/FCHI,0.05588812372207036,-0.008325427174911006
eta_DJI/FTSE,0.084340708186354,0.013545655454355264
eta_DJI/GDAXI,0.04799145944797291,-0.0035180796050142257
eta_DJI/HSI,0.04931280723029116,0.03004954965430214
eta_DJI/IBEX,0.07200647969172723,0.016762558214714403
eta_DJI/IXIC,-0.03126019257182979,-0.03539966622769357
eta_DJI/KS11,0.023573035379716497,0.02131828233070799
eta_DJI/KSE,0.003407528049799886,-0.009721677023113358
eta_DJI/MXX,0.032534822768154684,-0.0036881476305280153
eta_DJI/N225,0.10226463237827264,0.11030166303751872
eta_DJI/NSEI,0.07676510499447624,-0.004754886401637216
eta_DJI/RUT,-0.035275391692876745,0.03206857833041446
eta_DJI/SPX,-0.01156338962971928,-0.012190833351605593
eta_DJI/SSEC,0.010949810750743184,-0.08239425565225701
eta_DJI/SSMI,0.04911672667421566,0.0392905917183754
eta_DJI/STOXX50E,0.0751009651619832,0.003661354443212636
eta_FCHI/FTSE,0.011798449645682593,0.0015746964234294224
eta_FCHI/GDAXI,1.189554953498134e-4,0.008690611658342638
eta_FCHI/HSI,0.02491628569728818,0.019514311348949844
eta_FCHI/IBEX,0.00412917468793132,0.027256324440781188
eta_FCHI/IXIC,-0.09116918261562033,-0.017706507753613546
eta_FCHI/KS11,0.02332634028518828,-0.015569559701740903
eta_FCHI/KSE,-0.04101611301909266,-0.048632323866459715
eta_FCHI/MXX,-0.03427280716754289,-0.017380480918860432
eta_FCHI/N225,0.07290143847298974,0.09795262223277762
eta_FCHI/NSEI,0.049319538858996266,0.03136883102909822
eta_FCHI/RUT,-0.07622419604468159,0.034528372484549825
eta_FCHI/SPX,-0.07542238103701876,-0.0018866443296158848
eta_FCHI/SSEC,0.015781277865043457,-0.09695460775038842
eta_FCHI/SSMI,-0.021557545814669645,0.049778544388656934
eta_FCHI/STOXX50E,0.015417959455251781,0.01876813946036655
eta_FTSE/GDAXI,-0.01392079889196233,0.0027376246920148613
eta_FTSE/HSI,0.02736406872719454,0.041030121960042215
eta_FTSE/IBEX,-2.275421992574482e-4,0.03369780538382245
eta_FTSE/IXIC,-0.11415934945766856,-0.029836317509384393
eta_FTSE/KS11,0.008996747879259802,-0.031267307928529484
eta_FTSE/KSE,0.007041951318669072,-0.03985672543753493
eta_FTSE/MXX,-0.031487737875887024,-0.008102560517718906
eta_FTSE/N225,0.0574859782971349,0.09937159007653147
eta_FTSE/NSEI,0.03734557804014534,0.02260647970792922
eta_FTSE/RUT,-0.09782545100635537,0.029466213647335704
eta_FTSE/SPX,-0.10160567388505724,-0.026693974611949358
eta_FTSE/SSEC,0.010945492124898327,-0.09188424628924355
eta_FTSE/SSMI,-0.016617611233954162,0.055058945387226034
eta_FTSE/STOXX50E,-0.006235681303118255,0.009804276329388404
eta_GDAXI/HSI,0.015922758858127998,0.026861221668084162
eta_GDAXI/IBEX,0.007121429466457858,0.010866626677173948
eta_GDAXI/IXIC,-0.08070716330064817,-0.02476525435470597
eta_GDAXI/KS11,0.026209143379781946,0.022722076849351854
eta_GDAXI/KSE,-0.028152690386151907,0.0024884092817720705
eta_GDAXI/MXX,-0.028659716325682483,-0.016669877740632996
eta_GDAXI/N225,0.06421085429957915,0.10369386931874451
eta_GDAXI/NSEI,0.05272254816703052,0.0625481303734124
eta_GDAXI/RUT,-0.06799112619216462,0.03897136538874681
eta_GDAXI/SPX,-0.06610192504140319,-0.008668987693930017
eta_GDAXI/SSEC,0.014093085635596164,-0.07183951823744887
eta_GDAXI/SSMI,-0.016341146360224882,0.04371743488265983
eta_GDAXI/STOXX50E,0.017080974182092198,0.0076751098184875384
eta_HSI/IBEX,-0.015093740595954589,-0.0027448044806811893
eta_HSI/IXIC,-0.05064626283866595,-0.030351980345069085
eta_HSI/KS11,0.010849231406458307,-0.001389277098392943
eta_HSI/KSE,0.004089371825181199,0.03701852586289036
eta_HSI/MXX,-0.030407567521240433,-0.026053422377925853
eta_HSI/N225,0.046632915888445606,0.11457666603031544
eta_HSI/NSEI,0.02069042525443468,0.008529738950026736
eta_HSI/RUT,-0.057095988138549665,0.012012589640503503
eta_HSI/SPX,-0.05356496133567489,-0.034120031070519724
eta_HSI/SSEC,0.0319684730875389,0.08351172026499203
eta_HSI/SSMI,-0.020242731921435064,0.03940227285566941
eta_HSI/STOXX50E,-0.01725371775655542,-0.011875928826294862
eta_IBEX/IXIC,-0.09012064742504713,-0.037700860996352205
eta_IBEX/KS11,0.02281169294375465,-0.044963915004942026
eta_IBEX/KSE,-0.04979224671220634,-0.11737238752121688
eta_IBEX/MXX,-0.03966939332984363,-0.030951934879934393
eta_IBEX/N225,0.06524375668837436,0.09391864666013064
