par,val
cov_N225/RUT,0.10513294893040731
cov_N225/SPX,0.18456879864207423
cov_N225/SSEC,0.045910244287793514
cov_N225/SSMI,0.14141134323704946
cov_N225/STOXX50E,0.1646664990114225
cov_NSEI/RUT,0.12158304456872765
cov_NSEI/SPX,0.12731726659529766
cov_NSEI/SSEC,0.1083400176876606
cov_NSEI/SSMI,0.09894647686536051
cov_NSEI/STOXX50E,0.09550894736453523
cov_RUT/SPX,0.21477909580433108
cov_RUT/SSEC,0.07860593046028996
cov_RUT/SSMI,0.1488695475830667
cov_RUT/STOXX50E,0.1752473434872604
cov_SPX/SSEC,0.07802681836656102
cov_SPX/SSMI,0.22238522335512767
cov_SPX/STOXX50E,0.2653193361620836
cov_SSEC/SSMI,0.07630115300782749
cov_SSEC/STOXX50E,0.07343091136142642
cov_SSMI/STOXX50E,0.22263651002189883
rho_AEX/AORD,0.7529686865734765
rho_AEX/BFX,0.9237242539190745
rho_AEX/BSESN,0.5713691925420937
rho_AEX/BVSP,0.6768437704846705
rho_AEX/DJI,0.9019514229140662
rho_AEX/FCHI,0.9627494521371848
rho_AEX/FTSE,0.9293028291769446
rho_AEX/GDAXI,0.9794173073190967
rho_AEX/HSI,0.639347907977444
rho_AEX/IBEX,0.9215794687495714
rho_AEX/IXIC,0.8616944319043065
rho_AEX/KS11,0.616600409330371
rho_AEX/KSE,0.1047798584420594
rho_AEX/MXX,0.6454173031112029
rho_AEX/N225,0.6546680191787159
rho_AEX/NSEI,0.5026398946275479
rho_AEX/RUT,0.8000582070732573
rho_AEX/SPX,0.8995149608303065
rho_AEX/SSEC,0.32401556836629064
rho_AEX/SSMI,0.9606580226305939
rho_AEX/STOXX50E,0.9858929158068394
rho_AORD/BFX,0.7381855813620114
rho_AORD/BSESN,0.5307466085250154
rho_AORD/BVSP,0.5638319430026054
rho_AORD/DJI,0.7729441644789815
rho_AORD/FCHI,0.7412877577098779
rho_AORD/FTSE,0.7247695960313555
rho_AORD/GDAXI,0.7449767669826477
rho_AORD/HSI,0.5574936915703058
rho_AORD/IBEX,0.6989564782118454
rho_AORD/IXIC,0.7363104014774595
rho_AORD/KS11,0.5790175680259314
rho_AORD/KSE,0.14075412807273813
rho_AORD/MXX,0.5390147596736914
rho_AORD/N225,0.6369062132607414
rho_AORD/NSEI,0.4648642790478989
rho_AORD/RUT,0.6932776259905682
rho_AORD/SPX,0.772577343123328
rho_AORD/SSEC,0.2334926036612545
rho_AORD/SSMI,0.7480026579225874
rho_AORD/STOXX50E,0.7511612469861698
rho_BFX/BSESN,0.5684351074433053
rho_BFX/BVSP,0.6445076250574693
rho_BFX/DJI,0.8484889706502272
rho_BFX/FCHI,0.9143428676496351
